setup,preset,region,rmse,mae,bias,p95,max,median_uncertainty
Bajo,new_balanced,Brillo,0.47937696500740823,0.39550392062219186,0.29896156424559545,0.9204989497059346,1.0735921261687569,0.1345589709259158
Bajo,new_subgrave,Subgraves,0.04316544054705314,0.03402039865260528,-0.01350587242161531,0.07905664320511008,0.10484921777560707,0.088322557000651
Bajo,new_subgrave,Graves,0.1752690125758347,0.15693357579234873,-0.15693357579234873,0.24329867347671125,0.2451318012542636,0.0854382410466128
Bajo,new_subgrave,Medios,0.5714670902972487,0.4922074181272297,0.48531434736700485,0.846672438339378,0.8560569256594857,0.0837519515612825
Bajo,new_subgrave,Presencia,0.6728548914713638,0.6296768229467034,-0.6285792275247336,0.8899200310355289,0.8967378691924814,0.11821298465099335
Bajo,new_subgrave,Brillo,0.7125040855235847,0.5865393372193934,0.5177193964190753,1.342860148030921,1.5182080603119275,0.1345589709259158
Bajo,new_global,Subgraves,0.2479915491959986,0.2177067107639467,0.21431019405267393,0.34279557776719116,0.3459965169545658,0.088322557000651
Bajo,new_global,Graves,0.37417490558072947,0.3266110356387257,-0.2237285145945929,0.5737866860071493,0.582872735330163,0.0854382410466128
Bajo,new_global,Medios,0.40545339689623294,0.36129113003500435,0.1977076079085907,0.6053363651830979,0.6071086698047612,0.0837519515612825
Bajo,new_global,Presencia,0.5605792860446029,0.5248442576270057,-0.5248442576270057,0.7710104825626555,0.8047162629039288,0.11821298465099335
Bajo,new_global,Brillo,0.6993166970351601,0.5895228375754624,0.5646561702198752,1.2412824379233607,1.3980151619831815,0.1345589709259158
Híbrido,refined_previous,Subgraves,0.2533091057795668,0.24951948003931657,0.24951948003931657,0.332539711974764,0.3385115732955706,0.088350102304048
Híbrido,refined_previous,Graves,0.3107794169580019,0.2664375798094478,-0.09427962716447857,0.5348694449995024,0.5620305092246909,0.0855126218998353
Híbrido,refined_previous,Medios,0.5793420537466605,0.5182690939027459,0.27331248415047127,0.8845548806851804,0.8998598886260307,0.08312025713045515
Híbrido,refined_previous,Presencia,0.735249588604043,0.6769933299383251,-0.6721592628092241,0.982327380561861,1.0068657516340718,0.17018724544927627
Híbrido,refined_previous,Brillo,0.7985008126125183,0.6458659555267586,0.5219936004156288,1.4725577097295854,1.740136326916824,0.1655107682780324
Híbrido,point_30hz_previous,Subgraves,0.0796734549476153,0.04958383654009954,0.032719761818870374,0.21366736819811183,0.24960013146326698,0.088350102304048
Híbrido,point_30hz_previous,Graves,0.15605478354609556,0.1137036048733281,-0.08907700887923159,0.3040515589619278,0.32844449657674346,0.0855126218998353
Híbrido,point_30hz_previous,Medios,0.45955819465796144,0.3957318650346398,0.26311555204229786,0.7408245227159349,0.7514787609191256,0.08312025713045515
Híbrido,point_30hz_previous,Presencia,0.7156635816948023,0.6685001150124532,-0.6685001150124532,0.9525763939736144,0.9947537153590869,0.17018724544927627
Híbrido,point_30hz_previous,Brillo,1.0565248454843734,0.8670056658171877,0.7900889927510245,1.9131366290357514,2.205764283676956,0.1655107682780324
