setup,band,center_hz,gain_db,frequency_hz,contribution_db
Bajo,1,30,16.0,37.07958250166771,11.926797920781407
Bajo,1,30,16.0,37.21368696608587,11.924268331841946
Bajo,1,30,16.0,37.34827644155763,11.921695086941789
Bajo,1,30,16.0,37.483352682206,11.919078141529525
Bajo,1,30,16.0,37.61891744849801,11.916417450441898
Bajo,1,30,16.0,37.75497250726774,11.913712967910122
Bajo,1,30,16.0,37.891519631739314,11.91096464756631
Bajo,1,30,16.0,38.028560601550005,11.908172442449967
Bajo,1,30,16.0,38.16609720277346,11.905336305014638
Bajo,1,30,16.0,38.30413122794295,11.90245618713461
Bajo,1,30,16.0,38.44266447607471,11.89953204011174
Bajo,1,30,16.0,38.581698752691466,11.896563814682356
Bajo,1,30,16.0,38.72123586984589,11.893551461024288
Bajo,1,30,16.0,38.86127764614423,11.89049492876398
Bajo,1,30,16.0,39.00182590677006,11.887394166983704
Bajo,1,30,16.0,39.142882483508,11.88424912422888
Bajo,1,30,16.0,39.284449214767655,11.881059748515472
Bajo,1,30,16.0,39.4265279456075,11.8778259873375
Bajo,1,30,16.0,39.56912052775902,11.874547787674658
Bajo,1,30,16.0,39.712228819650754,11.871225096000007
Bajo,1,30,16.0,39.855854686432586,11.867857858287783
Bajo,1,30,16.0,40.0,11.864446020021287
Bajo,1,30,16.0,40.14466663901851,11.86098952620088
Bajo,1,30,16.0,40.28985648894816,11.857488321352076
Bajo,1,30,16.0,40.43557144206802,11.853942349533732
Bajo,1,30,16.0,40.58181339750094,11.850351554346314
Bajo,1,30,16.0,40.72858426123827,11.846715878940284
Bajo,1,30,16.0,40.875885946164665,11.843035266024572
Bajo,1,30,16.0,41.02372037208306,11.839309657875123
Bajo,1,30,16.0,41.17208946573968,11.835538996343582
Bajo,1,30,16.0,41.32099516084914,11.831723222866026
Bajo,1,30,16.0,41.470439398119645,11.827862278471805
Bajo,1,30,16.0,41.620424125278326,11.823956103792504
Bajo,1,30,16.0,41.77095129709655,11.820004639070941
Bajo,1,30,16.0,41.92202287541548,11.8160078241703
Bajo,1,30,16.0,42.07364082917158,11.811965598583363
Bajo,1,30,16.0,42.22580713442228,11.807877901441767
Bajo,1,30,16.0,42.3785237743718,11.803744671525445
Bajo,1,30,16.0,42.53179273939693,11.799565847272069
Bajo,1,30,16.0,42.68561602707295,11.795341366786642
Bajo,1,30,16.0,42.83999564219974,11.79107116785116
Bajo,1,30,16.0,42.994933596827856,11.78675518793434
Bajo,1,30,16.0,43.1504319102848,11.782393364201472
Bajo,1,30,16.0,43.30649260920125,11.777985633524334
Bajo,1,30,16.0,43.46311772753759,11.7735319324912
Bajo,1,30,16.0,43.62030930661031,11.769032197416935
Bajo,1,30,16.0,43.77806939511869,11.764486364353171
Bajo,1,30,16.0,43.93640004917147,11.759894369098568
Bajo,1,30,16.0,44.095303332313634,11.75525614720917
Bajo,1,30,16.0,44.25478131555333,11.75057163400882
Bajo,1,30,16.0,44.41483607738885,11.745840764599677
Bajo,1,30,16.0,44.575469703835694,11.741063473872828
Bajo,1,30,16.0,44.73668428845384,11.73623969651892
Bajo,1,30,16.0,44.89848193237492,11.731369367038955
Bajo,1,30,16.0,45.06086474432968,11.726452419755105
Bajo,1,30,16.0,45.22383484067543,11.721488788821626
Bajo,1,30,16.0,45.38739434542365,11.716478408235854
Bajo,1,30,16.0,45.55154539026766,11.711421211849256
Bajo,1,30,16.0,45.7162901146104,11.7063171333786
Bajo,1,30,16.0,45.88163066559231,11.70116610641714
Bajo,1,30,16.0,46.047569198119305,11.69596806444595
Bajo,1,30,16.0,46.214107874890914,11.690722940845257
Bajo,1,30,16.0,46.381248866428415,11.68543066890589
Bajo,1,30,16.0,46.5489943511031,11.680091181840808
Bajo,1,30,16.0,46.71734651516474,11.674704412796666
Bajo,1,30,16.0,46.88630755277006,11.669270294865461
Bajo,1,30,16.0,47.05587966601125,11.663788761096285
Bajo,1,30,16.0,47.22606506494479,11.658259744507088
Bajo,1,30,16.0,47.39686596762017,11.652683178096543
Bajo,1,30,16.0,47.56828460010884,11.647058994855978
Bajo,1,30,16.0,47.74032319653319,11.64138712778135
Bajo,1,30,16.0,47.9129839990957,11.635667509885314
Bajo,1,30,16.0,48.086269258108125,11.629900074209335
Bajo,1,30,16.0,48.26018123202087,11.624084753835858
Bajo,1,30,16.0,48.4347221874524,11.618221481900559
Bajo,1,30,16.0,48.60989439921876,11.612310191604639
Bajo,1,30,16.0,48.78570015036325,11.606350816227183
Bajo,1,30,16.0,48.96214173218621,11.600343289137577
Bajo,1,30,16.0,49.1392214442748,11.594287543807983
Bajo,1,30,16.0,49.31694159453304,11.58818351382586
