frequency_hz,delta_db,n_eff
34.720856926729,-3.511671731253833,162.5955291030951
34.77947611826001,-3.489478935658198,163.9937386052906
34.83819427651937,-3.452652239353289,165.36181895289968
34.89701156859253,-3.432971831979417,166.69378536996751
34.95592816184701,-3.424565169285259,167.98345561353779
35.01494422393291,-3.415839363298948,169.2244588464269
35.07405992278337,-3.4000931722362693,170.41032113040163
35.13327542661504,-3.3713404314897866,171.53449934051164
35.19259090392859,-3.3488049081317435,172.59044887814525
35.25200652350916,-3.34616470322425,173.5716916870292
35.31152245442684,-3.3434236907357366,174.4718890800866
35.37113886603718,-3.322751498252065,175.2849182375399
35.43085592798164,-3.3212708009861625,176.00495100330153
35.490673810188085,-3.31984463322477,176.6265333986123
35.550592682871276,-3.2286811174882386,177.1446641024596
35.61061271653334,-3.219008492294668,177.55487003034634
35.67073408196428,-3.198713211738635,177.85327708786522
35.73095695024241,-3.1718015509952724,178.03667419204442
35.79128149273491,-3.1458508811075525,178.1025713107609
35.851707881098264,-3.112790781254729,178.04923468770946
35.91223628727875,-3.076309613252544,177.87573787245466
35.97286688351298,-3.043341728189003,177.58196573516483
36.033599842328314,-3.019640819366275,177.16862908611904
36.094435336543405,-2.996801178544475,176.63726377653649
36.15537353926869,-2.9709637145048964,175.9902064795161
36.216414623906836,-2.932594916997072,175.23055382266512
36.2775587641533,-2.8956009988854885,174.36213308759622
36.33880613399676,-2.8599309295216737,173.38943630947105
36.40015690771966,-2.852337413339757,172.3175577617733
36.461611259898675,-2.8478212127696216,171.15212141453
36.52316936540522,-2.8434713466075765,169.89920280409797
36.58483139940594,-2.8390574411693983,168.56524731090204
36.64659753736323,-2.8340272011919327,167.1569868269651
36.70846795503569,-2.829173231935951,165.68135670847238
36.77044282847867,-2.8244889475186996,164.14541475984439
36.832522334044775,-2.819967993410807,162.55626379725612
36.8947066483843,-2.741636871896028,160.9209791049621
36.956995948445815,-2.7390211066652546,159.24654184134778
37.01939041147662,-2.7364965132153025,157.53977918679553
37.081890215023265,-2.734059636306212,155.80731176450254
37.144495536932034,-2.7317071411545433,154.05550861854394
37.207206555349494,-2.72943580886656,152.29044980893394
37.27002344872297,-2.724987767883694,150.51789648689356
37.33294639580104,-2.72003197473747,148.74326814854163
37.39597557563408,-2.715246689311912,146.97162663320478
37.459111167574775,-2.710625280061154,145.20766633319656
37.52235335127857,-2.706161342872505,143.4557100134504
37.58570230670425,-2.7018486922243214,141.7197095990982
37.649158214114415,-2.6976813526468586,140.00325127340037
37.71272125407601,-2.691545985858356,138.30956423357696
37.776391607460816,-2.6831831241699176,136.64153247401504
37.840169455446,-2.674474751663126,135.0017090012878
37.90405497951459,-2.6721466474685904,133.39233192973785
37.96804836145602,-2.670833820818548,131.81534195691108
38.03214978336665,-2.669562914180377,130.27240077207958
38.096359427650256,-2.668332210883685,128.76491000617938
38.16067747701857,-2.66714004906501,127.29403038581935
38.225104114491806,-2.66598481941347,125.86070080622848
38.28963952339916,-2.6648649629879326,124.46565708699652
38.35428388737934,-2.663778969102762,123.109450219575
38.41903739038111,-2.6627253732792444,121.79246395629154
38.48390021666378,-2.6350616879334274,120.51493162693974
38.54887255079774,-2.6308948102025864,119.27695210078002
38.613954577665,-2.5839738765098006,118.07850483923625
38.6791464824597,-2.5831067868424338,116.9194640078637
38.74444845068865,-2.5822646712694266,115.79961163564073
38.80986066817185,-2.5814463696462258,114.7186498256391
38.87538332104301,-2.580650755221771,113.67621203399277
38.94101659575012,-2.57987673308969,112.67187344422376
39.00676067905589,-2.579123238684071,111.70516047170294
39.07261575803839,-2.578389236317727,110.77555943869707
39.13858202009152,-2.5776737177609634,109.88252446437453
39.204659652925564,-2.576975700858875,109.02548461660257
39.270848844567716,-2.576294228185294,108.20385037362453
39.3371497833626,-2.5756283657315358,107.41701944398429
39.403562657972834,-2.574977201628144,106.66438199255397
39.470087657379565,-2.5329818800903467,105.94532531941256
39.53672497088298,-2.5263003032238855,105.25923803674155
39.60347478810287,-2.5197460618988132,104.60551378698233
39.67033729897915,-2.513310288793971,103.98355454335108
39.73731269377243,-2.506984284443303,103.39277353148097
39.80440116306452,-2.500759505470681,102.83259780858947
39.87160289775899,-2.4946272138160857,102.30249196336868
39.938918089081724,-2.488578621942258,101.80194810829293
40.00634692858144,-2.4826077032762286,101.3303363419832
40.073889608130266,-2.4767050025866846,100.88721087767182
40.14154631992424,-2.470862746195854,100.47210443869999
40.2093172564839,-2.4650730908660035,100.0845660823843
40.277202610654825,-2.4593282723778915,99.72416972366536
40.345202575608155,-2.4536205951079006,99.39051500403893
40.413317344841175,-2.4479424217081465,99.08322804355963
40.48154711217785,-2.42288523927502,98.80196209136369
40.54989207176937,-2.376690728620645,98.54639808863993
40.61835241809472,-2.3437276889927325,98.31624515658274
40.68692834596122,-2.2163782448654787,98.11124102055498
40.75562005050507,-2.2119125925430008,97.93115238048635
40.824427727191946,-2.207450356956757,97.77577523641659
40.893351571817504,-2.202985621597187,97.6449351770576
40.96239178050797,-2.1985124749497706,97.53848763828674
