pair,event,window,band,delta_db,match_cost
B_open,7,10-20ms,150-500,-7.274054892576686,1.3094095927611444
B_open,7,10-20ms,500-2000,-10.148498310478104,1.3094095927611444
B_open,7,10-20ms,2000-5000,-18.198706296250478,1.3094095927611444
B_open,7,10-20ms,5000-10000,-18.324837851358637,1.3094095927611444
B_open,7,20-40ms,20-60,-20.703335892614355,1.3094095927611444
B_open,7,20-40ms,60-150,-21.732010131914713,1.3094095927611444
B_open,7,20-40ms,150-500,-22.433392768512313,1.3094095927611444
B_open,7,20-40ms,500-2000,-9.93000991127439,1.3094095927611444
B_open,7,20-40ms,2000-5000,-25.86261822964859,1.3094095927611444
B_open,7,20-40ms,5000-10000,-27.366535020773995,1.3094095927611444
B_open,7,40-80ms,20-60,-16.69334339202875,1.3094095927611444
B_open,7,40-80ms,60-150,-14.594942363549215,1.3094095927611444
B_open,7,40-80ms,150-500,-12.500489717758178,1.3094095927611444
B_open,7,40-80ms,500-2000,8.888777846427729,1.3094095927611444
B_open,7,40-80ms,2000-5000,-1.2972342179856042,1.3094095927611444
B_open,7,40-80ms,5000-10000,-2.1484393197297322,1.3094095927611444
B_open,7,80-160ms,20-60,-16.932491344948644,1.3094095927611444
B_open,7,80-160ms,60-150,-14.927928083160538,1.3094095927611444
B_open,7,80-160ms,150-500,-11.198645231858663,1.3094095927611444
B_open,7,80-160ms,500-2000,8.963797867992682,1.3094095927611444
B_open,7,80-160ms,2000-5000,-10.191029793789838,1.3094095927611444
B_open,7,80-160ms,5000-10000,-10.328369990645399,1.3094095927611444
B_open,8,0-5ms,20-60,-10.158682949000678,1.0941544453811514
B_open,8,0-5ms,60-150,-9.272251168044555,1.0941544453811514
B_open,8,0-5ms,150-500,-9.359147018710914,1.0941544453811514
B_open,8,0-5ms,500-2000,-5.212214922069705,1.0941544453811514
B_open,8,0-5ms,2000-5000,-6.005327339716601,1.0941544453811514
B_open,8,0-5ms,5000-10000,-9.486985426967337,1.0941544453811514
B_open,8,5-10ms,20-60,-10.713974785571835,1.0941544453811514
B_open,8,5-10ms,60-150,-10.23123763575014,1.0941544453811514
B_open,8,5-10ms,150-500,-11.272774928721141,1.0941544453811514
B_open,8,5-10ms,500-2000,-8.42392736832835,1.0941544453811514
B_open,8,5-10ms,2000-5000,-7.221941248457895,1.0941544453811514
B_open,8,5-10ms,5000-10000,-11.338617281419985,1.0941544453811514
B_open,8,10-20ms,20-60,-16.520746920908294,1.0941544453811514
B_open,8,10-20ms,60-150,-16.444707617522987,1.0941544453811514
B_open,8,10-20ms,150-500,-15.461114562267603,1.0941544453811514
B_open,8,10-20ms,500-2000,3.378965926349558,1.0941544453811514
B_open,8,10-20ms,2000-5000,-18.38870635991732,1.0941544453811514
B_open,8,10-20ms,5000-10000,-20.04950784690915,1.0941544453811514
B_open,8,20-40ms,20-60,-12.90364276241479,1.0941544453811514
B_open,8,20-40ms,60-150,-11.352410688189067,1.0941544453811514
B_open,8,20-40ms,150-500,-5.222693106121454,1.0941544453811514
B_open,8,20-40ms,500-2000,-6.755495452112214,1.0941544453811514
B_open,8,20-40ms,2000-5000,-21.75401840189656,1.0941544453811514
B_open,8,20-40ms,5000-10000,-22.776493246095626,1.0941544453811514
B_open,8,40-80ms,20-60,-12.000321415593831,1.0941544453811514
B_open,8,40-80ms,60-150,-11.266403966474158,1.0941544453811514
B_open,8,40-80ms,150-500,-13.020766116781537,1.0941544453811514
B_open,8,40-80ms,500-2000,-6.338325267922023,1.0941544453811514
B_open,8,40-80ms,2000-5000,-11.659409656338198,1.0941544453811514
B_open,8,40-80ms,5000-10000,-11.574694018997732,1.0941544453811514
B_open,8,80-160ms,20-60,-17.674027315183487,1.0941544453811514
B_open,8,80-160ms,60-150,-12.80373915526173,1.0941544453811514
B_open,8,80-160ms,150-500,-9.544142055286166,1.0941544453811514
B_open,8,80-160ms,500-2000,11.785870727095116,1.0941544453811514
B_open,8,80-160ms,2000-5000,-10.38654614957413,1.0941544453811514
B_open,8,80-160ms,5000-10000,-10.118895482084184,1.0941544453811514
B_open,9,0-5ms,20-60,-15.925712111552016,1.532996569973463
B_open,9,0-5ms,60-150,-17.0288822471189,1.532996569973463
B_open,9,0-5ms,150-500,-16.240600653820067,1.532996569973463
B_open,9,0-5ms,500-2000,-9.824974155958543,1.532996569973463
B_open,9,0-5ms,2000-5000,-8.643424645944563,1.532996569973463
B_open,9,0-5ms,5000-10000,-25.929910792798267,1.532996569973463
B_open,9,5-10ms,20-60,-26.57968124939635,1.532996569973463
B_open,9,5-10ms,60-150,-27.720789544529524,1.532996569973463
B_open,9,5-10ms,150-500,-25.575394221050615,1.532996569973463
