pair,family,string,register,event,phase,f,f0,y,snr,match_cost,kind,weight_base
G_open,open,G,low,39,sustain,97.91418347156349,97.91418347156349,-6.625483764839402,53.34417758669053,1.4681017305198445,fundamental,0.3
G_open,open,G,low,39,decay,97.91418347156349,97.91418347156349,-6.565323957892275,48.76696509876376,1.4681017305198445,fundamental,0.08
G_open,open,G,low,40,attack,97.93048982411793,97.93048982411793,-4.721016729133474,44.70151135379329,1.5672060132200836,fundamental,0.08
G_open,open,G,low,40,stabilization,97.93048982411793,97.93048982411793,-9.525542143120106,45.04128039240574,1.5672060132200836,fundamental,0.14
G_open,open,G,low,40,body,97.93048982411793,97.93048982411793,-9.542496267230897,49.38995918913345,1.5672060132200836,fundamental,0.4
G_open,open,G,low,40,sustain,97.93048982411793,97.93048982411793,-9.210340804508917,51.62980661825007,1.5672060132200836,fundamental,0.3
G_open,open,G,low,40,decay,97.93048982411793,97.93048982411793,-9.050500140009524,47.09480248318682,1.5672060132200836,fundamental,0.08
G_open,open,G,low,41,attack,97.90249783220284,97.90249783220284,-9.001988770736986,41.63383764384638,1.697291166591664,fundamental,0.08
G_open,open,G,low,41,stabilization,97.90249783220284,97.90249783220284,-9.504724312464909,40.309215521518986,1.697291166591664,fundamental,0.14
G_open,open,G,low,41,body,97.90249783220284,97.90249783220284,-9.489115559041103,44.87239458482527,1.697291166591664,fundamental,0.4
G_open,open,G,low,41,sustain,97.90249783220284,97.90249783220284,-9.43085656301865,46.9307449281835,1.697291166591664,fundamental,0.3
G_open,open,G,low,41,decay,97.90249783220284,97.90249783220284,-6.7388085119223575,41.32583613979959,1.697291166591664,fundamental,0.08
G_open,open,G,low,42,attack,97.91081442341853,97.91081442341853,-12.743632735436124,44.38327536231964,1.415663080156181,fundamental,0.08
G_open,open,G,low,42,stabilization,97.91081442341853,97.91081442341853,-13.099741930299343,43.60670807274238,1.415663080156181,fundamental,0.14
G_open,open,G,low,42,body,97.91081442341853,97.91081442341853,-12.547599708818469,48.35748081038689,1.415663080156181,fundamental,0.4
G_open,open,G,low,42,sustain,97.91081442341853,97.91081442341853,-12.135408466261543,50.6158907679646,1.415663080156181,fundamental,0.3
G_open,open,G,low,42,decay,97.91081442341853,97.91081442341853,-11.925951046863888,46.14549232212528,1.415663080156181,fundamental,0.08
G_open,open,G,low,43,attack,97.91103061148317,97.91103061148317,-12.593299145850215,44.45124112888744,1.3367305497332262,fundamental,0.08
G_open,open,G,low,43,stabilization,97.91103061148317,97.91103061148317,-12.404326140714446,43.71654893420779,1.3367305497332262,fundamental,0.14
