pair,event,phase,f0_cafe_hz,f0_azul_hz,amplitude_cafe,amplitude_azul,delta_db,snr_cafe,snr_azul
B_open,11,body,30.929380089741795,30.849018992807125,0.029289397999504467,0.003713838341974279,-17.93774899772336,0.516380733814817,0.5478423347265612
B_open,11,sustain,30.929380089741795,30.849018992807125,0.026834506505142817,0.003383127473139854,-17.987505019458972,0.665990460135286,0.7669153760278438
B_open,11,decay,30.929380089741795,30.849018992807125,0.024865702453004082,0.003190526252769966,-17.834768200122518,0.32303737970412644,0.11361963379763187
B_open,12,attack,30.893363873603914,30.9401432050903,0.013881846340160724,0.0012699322604690433,-20.773333539765503,-0.5248741944261331,-3.828297009168587
B_open,12,stabilization,30.893363873603914,30.9401432050903,0.012933020089562753,0.0013099292605686882,-19.889042177564562,-2.237683785120926,-4.699345278130022
B_open,12,body,30.893363873603914,30.9401432050903,0.012773084303425171,0.0011339072655654637,-21.034364809969404,0.664223992222489,0.4853311087514958
B_open,12,sustain,30.893363873603914,30.9401432050903,0.011968956257819074,0.0010407936911767776,-21.213832574601,0.8675204089846954,0.8566649651133712
B_open,12,decay,30.893363873603914,30.9401432050903,0.011411202381794858,0.0009474744671602291,-21.615277850269237,-0.7544764170632233,0.33788726642090194
B_open,13,attack,30.896525748741574,30.75347604731831,0.02128230198361496,0.0018249687821225368,-21.3352632292846,-0.31546183676905865,-2.747113395739174
B_open,13,stabilization,30.896525748741574,30.75347604731831,0.0203498667114148,0.0014650192935374772,-22.854364496955114,-0.3636029163786685,-8.225710075560906
B_open,13,body,30.896525748741574,30.75347604731831,0.01905324964134776,0.001415807082788994,-22.579299542590093,0.4890677124990108,0.7603908348400987
B_open,13,sustain,30.896525748741574,30.75347604731831,0.01739013406250442,0.0012535712255797166,-22.843078304855297,0.7392518127070759,0.9376495814858576
B_open,13,decay,30.896525748741574,30.75347604731831,0.01645747847616312,0.0012267718046893175,-22.551990197721153,0.3969113909413514,0.11833743914492445
B_open,14,attack,30.91830254020206,30.82394222268658,0.012410032393247285,0.0013396853673855605,-19.33540202536293,-3.5660693257969838,-3.6112015610533477
B_open,14,stabilization,30.91830254020206,30.82394222268658,0.010103755989567125,0.0009821263191975302,-20.246309995179033,-8.23549553838314,-8.673280519730378
B_open,14,body,30.91830254020206,30.82394222268658,0.010899864754966543,0.0009890962866130825,-20.843650757669224,0.6784865978728832,0.7508827173267631
B_open,14,sustain,30.91830254020206,30.82394222268658,0.010174400944976264,0.0008237438656344056,-21.834333090475674,0.8211631074641977,0.9980912860475297
B_open,14,decay,30.91830254020206,30.82394222268658,0.009680290552466862,0.0007461537758569726,-22.261201034882816,-0.11980395233054325,-0.15571419124683103
B_open,15,attack,30.88760555126945,30.83839619118246,0.016832592158944913,0.002631449243178298,-16.11912006790859,-1.3606042865353594,-0.13950454491862133
B_open,15,stabilization,30.88760555126945,30.83839619118246,0.015442815250800589,0.0023674486164586487,-16.288918281012123,-5.211470717591977,-1.2284305800579882
B_open,15,body,30.88760555126945,30.83839619118246,0.014585261320803074,0.002190051448963032,-16.469197944447465,0.5123113320924049,0.6481663426888173
B_open,15,sustain,30.88760555126945,30.83839619118246,0.013244902746836545,0.001924720414326343,-16.75362242249485,0.6255541385717523,0.8197902244911569
B_open,15,decay,30.88760555126945,30.83839619118246,0.012740813610088336,0.0016254830090764879,-17.884294561304337,0.13769227422615957,-0.16349912038418252
B_open,16,attack,30.881238885802148,30.810084814045695,0.01784244964462501,0.002871211402548352,-15.867786193926953,-1.8184363593272073,-0.6639443726812551
B_open,16,stabilization,30.881238885802148,30.810084814045695,0.01625194801963981,0.0024852652878483133,-16.31065341222113,-3.9079428398065734,-3.128339433826988
B_open,16,body,30.881238885802148,30.810084814045695,0.01528326724624723,0.0023407948194500415,-16.297057194354267,0.5096387381469971,0.526581057703112
B_open,16,sustain,30.881238885802148,30.810084814045695,0.013926701784021153,0.0020650895610237648,-16.578187693709182,0.7241159575978726,0.7387677259312633
B_open,16,decay,30.881238885802148,30.810084814045695,0.0132226907815716,0.0023499205187300634,-15.005333369857844,0.25554763311864476,-0.49692557179270824
B_open,17,attack,30.905769235287167,30.86514660248042,0.029359318961139216,0.001381950488684171,-26.54506986750967,-0.8403168183575578,-3.1722511539820792
B_open,17,stabilization,30.905769235287167,30.86514660248042,0.025997482025269417,0.0010850152864303195,-27.58990859486909,-3.7322789046284504,-7.436290556079079
B_open,17,body,30.905769235287167,30.86514660248042,0.024577121437085698,0.0010004514511490201,-27.80669993722298,0.4257713596871151,0.3627813962636028
B_open,17,sustain,30.905769235287167,30.86514660248042,0.02250261136473249,0.0008107585440926803,-28.866827711064104,0.7423389538413073,0.7171257888060119
B_open,17,decay,30.905769235287167,30.86514660248042,0.021523306184040705,0.0007012402899734073,-29.740842464238206,-0.2339231902596667,0.32329126430402133
B_open,18,attack,30.922443882808906,30.79570208468517,0.03419465310071607,0.002270115724728817,-23.558204105145137,0.38299874372481757,-2.3907613621363613
B_open,18,stabilization,30.922443882808906,30.79570208468517,0.03140956418474669,0.0018956554517085627,-24.38605012611394,-0.4590105560469743,-6.360763597951444
B_open,18,body,30.922443882808906,30.79570208468517,0.0299563082007774,0.0017572157619933303,-24.633263998663796,0.5365394067334592,0.4842916529398982
B_open,18,sustain,30.922443882808906,30.79570208468517,0.027861901215339813,0.0015018530271631596,-25.367666276782984,0.7264862996315582,0.7387585752171515
B_open,18,decay,30.922443882808906,30.79570208468517,0.026898388947114545,0.0013395951983045883,-26.055053739318915,0.26516823209136575,-0.16362941970149014
B_open,19,attack,30.908555615790995,30.874704275336924,0.025422239077948564,0.0018312852903553199,-22.849155832920648,0.3755910639214382,-2.8563613875205958
B_open,19,stabilization,30.908555615790995,30.874704275336924,0.023628490546665954,0.001497367141971853,-23.96215359580561,0.20742936334642328,-7.223884303281953
B_open,19,body,30.908555615790995,30.874704275336924,0.022957293740809685,0.0015038963684437694,-23.674055609690754,0.5741613439483249,0.5043381507822193
B_open,19,sustain,30.908555615790995,30.874704275336924,0.0217210027299132,0.0013572808425797813,-24.08420301839348,0.7875871525773476,0.8160398370058892
B_open,19,decay,30.908555615790995,30.874704275336924,0.020932088478829446,0.0012738930171109996,-24.313592095850687,0.1212576651462364,0.08631871000723422
B_open,20,attack,30.923385232620348,30.83258110359255,0.024144342956246005,0.0022296082903213764,-20.691736416692805,0.3107536172675312,-0.7726508478486861
B_open,20,stabilization,30.923385232620348,30.83258110359255,0.023466493696179817,0.002243553958821076,-20.39023368461673,0.395862813299966,0.5411968894955209
B_open,20,body,30.923385232620348,30.83258110359255,0.022158110178752674,0.0020218435798616307,-20.795703284086414,0.5283329491365207,0.5031299092916997
B_open,20,sustain,30.923385232620348,30.83258110359255,0.020669451357823276,0.0018006999604419016,-21.197751880013506,0.7763428838664371,0.8137233713459511
