pair,event_cafe,event_azul,time_cafe,time_azul,lag_ms,match_cost,f0_cafe,f0_azul,note_error_cents,confidence,status
A_open,8,12,7.264943310657596,11.139773242630385,3874.829931972789,1.7191572638387902,54.912668167112116,55.1395565102343,7.138381484119695,medium,accepted
A_open,9,13,7.894784580498866,11.7318820861678,3837.0975056689344,1.4788198272962567,54.899892654954506,55.042858910333415,4.502492163689513,medium,accepted
A_open,10,14,8.483990929705216,12.338503401360544,3854.5124716553278,1.6314242725552346,54.94754160792729,55.118956647649405,5.392372754929266,medium,accepted
A_open,11,15,9.093514739229025,12.939319727891156,3845.804988662131,1.362486080818772,54.91979811919363,55.13660190549936,6.82084062813384,medium,accepted
A_open,12,16,9.711746031746031,13.522721088435373,3810.975056689342,1.6732204459761058,54.93938966337324,55.13600619382328,6.18466263925815,medium,accepted
A_open,13,17,10.29514739229025,14.146757369614512,3851.609977324262,1.6100022479442624,54.95746798780523,55.104380237971284,4.621758490659846,medium,accepted
A_open,14,18,10.907573696145125,14.75047619047619,3842.9024943310656,1.8940222567816438,54.90630528866046,55.13213040607392,7.10582041256453,medium,accepted
A_open,15,19,11.490975056689342,15.348390022675737,3857.414965986395,1.63876541596236,54.94001682742976,55.14801436534924,6.54190731446493,medium,accepted
A_open,19,20,13.871020408163265,15.946303854875284,2075.283446712019,1.3855103919864737,54.94271051397204,55.17653839979807,7.352236960729995,medium,accepted
A_open,20,21,14.492154195011338,16.535510204081632,2043.356009070294,1.5894529105429982,54.941262926658354,55.150598367329465,6.583757874144226,medium,accepted
A_open,21,22,15.07265306122449,17.10439909297052,2031.7460317460316,1.6058552999402254,54.94445813688041,55.14695817210051,6.368804454226091,medium,accepted
A_open,22,23,15.656054421768708,17.722630385487527,2066.575963718819,1.477402104492371,54.975318404379614,55.10701587421359,4.1423404440391804,medium,accepted
A_open,23,24,16.27138321995465,18.335056689342405,2063.673469387755,1.5523112328307536,54.96591335649744,55.102707463206684,4.303183512483293,medium,accepted
A_open,24,25,16.840272108843536,18.93297052154195,2092.6984126984144,1.4393027515117323,54.97487876984369,55.11012617209137,4.253894992291785,medium,accepted
A_open,25,26,17.458503401360545,19.574421768707484,2115.9183673469392,1.61687170822516,54.97230348895416,55.14207863631547,5.338462479184516,medium,accepted
A_open,26,27,18.082539682539682,20.154920634920636,2072.3809523809537,1.8199604553076245,54.97214600226195,55.15106223493108,5.625447195439165,medium,accepted
A_open,27,28,18.674648526077096,20.75283446712018,2078.1859410430848,1.5181883315453961,54.95423644123816,55.170966151543844,6.814250135418391,medium,accepted
A_open,29,29,19.89079365079365,21.324625850340137,1433.8321995464867,1.4467668887305944,54.94649659119181,55.12550208498359,5.630872206363411,medium,accepted
A_open,30,30,20.48580498866213,21.93124716553288,1445.442176870749,1.8503944336369462,54.957567179598755,55.18874501995285,7.26712548590429,medium,accepted
A_open,31,31,21.031473922902496,22.54657596371882,1515.1020408163233,1.633744826685656,54.92814235068498,55.191147368144215,8.26965208785821,medium,accepted
A_open,34,32,22.865850340136053,23.144489795918368,278.63945578231505,1.702300979885435,54.94448330654732,55.16907859942351,7.0623009693741565,medium,accepted
A_open,35,33,23.45795918367347,23.748208616780044,290.2494331065739,1.560650085768741,54.90680705023945,55.19574438897965,9.08642534850776,medium,accepted
A_open,36,34,24.050068027210884,24.34031746031746,290.2494331065775,1.925979971127773,54.943312358641855,55.17336653512706,7.233748909201391,medium,accepted
A_open,37,35,24.674104308390024,24.92952380952381,255.41950113378675,1.4276683499197427,54.960256130870526,55.15866070568423,6.2384399874848535,medium,accepted
A_open,38,36,25.26331065759637,25.518730158730158,255.41950113378675,1.7473753322302763,54.93999147826454,55.15336122454393,6.71054924263905,medium,accepted
A_open,39,37,25.875736961451246,26.12825396825397,252.51700680272293,1.4310859906945348,54.95003396985209,55.06426782126541,3.5952708144061205,medium,accepted
A_open,40,38,26.464943310657596,26.72907029478458,264.12698412698535,1.776345217801533,54.96080100711474,55.118842299670135,4.971067249137892,medium,accepted
A_open,41,40,27.07736961451247,27.936507936507937,859.1383219954664,1.6464268893258798,54.94667600175703,55.13898457152869,6.048589450193623,medium,accepted
A_open,42,41,27.663673469387756,28.52861678004535,864.9433106575941,1.5738760154499323,54.97341306490901,55.082985408883005,3.4472404700003105,medium,accepted
A_open,43,42,28.281904761904762,29.13814058956916,856.235827664399,1.756162800181728,54.96781937108334,55.16875043286098,6.316867907149536,medium,accepted
A_open,44,43,28.879818594104307,29.765079365079366,885.2607709750587,1.8612146953838888,54.99858139515584,55.095423232080144,3.0456868067657368,medium,accepted
A_open,45,44,29.48063492063492,30.322358276643993,841.7233560090729,1.9357311715587204,54.98787196033662,55.19914285313398,6.63889137988176,medium,accepted
A_open,47,45,30.661950113378683,30.920272108843537,258.3219954648541,1.7796416992532624,55.004844112016045,55.205105799177744,6.2916321693066,medium,accepted
A_open,48,46,31.271473922902494,31.52689342403628,255.41950113378675,2.062106230600572,54.9454038574416,55.16955054154548,7.048105492908019,low,accepted
A_open,49,47,31.872290249433107,32.139319727891156,267.02947845804914,1.6121007062720947,54.93316961695979,55.17263296552218,7.530352559847845,medium,accepted
A_open,50,48,32.45859410430839,32.72562358276644,267.02947845804914,2.2815698169261656,54.93942854001126,55.16335686821021,7.042017682185221,low,accepted
A_open,51,49,33.10004535147392,33.349659863945575,249.614512471652,1.5355587166818656,54.93737953894637,55.099195328403795,5.091783466790764,medium,accepted
A_open,52,51,33.72408163265306,34.571609977324265,847.5283446712041,2.0052146655271956,54.947878113128866,55.18964740418282,7.60067740824606,low,accepted
A_open,53,52,34.32489795918367,35.163718820861675,838.820861678002,1.4917272356065678,54.95024959115849,55.19553368015315,7.710596918071069,medium,accepted
A_open,55,53,35.47428571428571,35.750022675736965,275.73696145125126,1.2045457089481368,54.94508254134289,55.091200757989206,4.59784669111343,medium,accepted
A_open,56,54,36.075102040816326,36.33922902494331,264.12698412698177,1.8806185553083514,54.970485148961224,55.18360419479544,6.698968893748166,medium,accepted
A_open,57,55,36.66721088435374,36.931337868480725,264.12698412698177,1.3471485776312677,54.946201892359255,55.090945309161654,4.554550575832716,medium,accepted
A_open,58,56,37.297052154195015,37.53215419501134,235.10204081632224,1.634044624540631,54.93373301625739,55.119298569359266,5.838234598182848,medium,accepted
A_open,59,57,37.86303854875283,38.164897959183676,301.8594104308434,1.4520253426043201,54.94158102393404,55.10057196903467,5.002641654928459,medium,accepted
A_open,60,58,38.507392290249435,38.76281179138322,255.41950113378675,1.798102849368062,54.96311782807547,55.148550794875824,5.830956399781123,medium,accepted
A_open,61,59,39.09079365079365,39.37814058956916,287.34693877551365,1.279055170052297,54.95713772246903,55.16361979631041,6.492313052381885,medium,accepted
A_open,63,60,40.263401360544215,39.952834467120184,-310.5668934240313,1.3934908931837287,54.929436236631666,55.13149961938696,6.356831306409837,medium,accepted
A_open,65,61,41.46503401360544,40.542040816326534,-922.9931972789061,1.2752837999688762,54.963240808278066,55.144445719964004,5.698210653062729,medium,accepted
A_open,67,62,42.695691609977324,41.160272108843536,-1535.419501133788,1.4424115146220389,54.9536418144782,55.15089268225301,6.202974026229767,medium,accepted
A_open,69,63,43.87700680272109,41.74657596371882,-2130.4308390022725,1.4903873213318783,54.95942670285466,55.157506952775655,6.228354379257617,medium,accepted
A_open,70,64,44.46621315192744,42.385124716553285,-2081.088435374156,1.92391309867217,54.99169194917584,55.138534592067884,4.6167004621151175,medium,accepted
A_open,71,65,45.055419501133784,42.96562358276644,-2089.795918367344,1.4606909448342404,54.923477397690235,55.14950794240071,7.1100520066591555,medium,accepted
A_open,72,66,45.670748299319726,43.56643990929705,-2104.3083900226734,1.9250630838045824,54.95415960602382,55.15531986976946,6.325629492045464,medium,accepted
A_open,73,67,46.28607709750567,44.17886621315193,-2107.2108843537408,1.3679229794325727,54.95025093561264,55.150095756530916,6.284785631597743,medium,accepted
A_open,74,68,46.86077097505669,44.76226757369614,-2098.5034013605455,1.9570655857454875,55.00537151894074,55.217474121913796,6.6628601225052755,medium,accepted
A_open,75,69,47.4615873015873,45.36888888888889,-2092.6984126984107,1.5173439648190692,54.957076705745955,55.10393044553151,4.619953097051222,medium,accepted
A_open,76,70,48.06240362811791,45.94068027210884,-2121.7233560090704,1.9143364624806345,54.971162809370995,55.15399469472385,5.74846080891075,medium,accepted
A_open,77,71,48.68643990929705,46.55891156462585,-2127.5283446711983,1.4300975301890793,54.94437914462062,55.180580638429745,7.4264852653337945,medium,accepted
A_open,78,72,49.24952380952381,47.15392290249433,-2095.6009070294785,1.9103488953104855,54.94104675424127,55.212737495047605,8.540082727352148,medium,accepted
A_open,79,73,49.873560090702945,47.75473922902494,-2118.820861678003,1.7142402821677687,54.946786640303685,55.231117895642505,8.935458434798544,medium,accepted
