setup,run,frequency_hz,transfer_db,median_snr_db
Bajo,1,48.26018123202087,15.838035397904541,37.73557892038667
Bajo,1,48.4347221874524,15.83439221195157,37.626814312737835
Bajo,1,48.60989439921876,15.830547001906245,37.42082324019396
Bajo,1,48.78570015036325,15.826720530046668,37.43541577703487
Bajo,1,48.96214173218621,15.823080120355336,37.66118473758681
Bajo,1,49.1392214442748,15.819700130515951,37.93547601539764
Bajo,1,49.31694159453304,15.816549306945706,37.95608453693967
Bajo,1,49.49530449921188,15.813510855543822,37.680427612921235
Bajo,1,49.67431248293936,15.8104315150598,37.22574309855358
Bajo,1,49.85396787875092,15.807187053152575,36.74623351086275
Bajo,1,50.03427302811982,15.80374480018483,37.006389508087985
Bajo,1,50.21523028098764,15.800201480337062,37.21236535187079
Bajo,1,50.39684199579493,15.796778835341955,37.13521038879459
Bajo,1,50.5791105395119,15.793771443355087,37.53582586421225
Bajo,1,50.76203828766933,15.791457858518484,38.310296756288736
Bajo,1,50.94562762438948,15.790002156531358,39.117652075295936
Bajo,1,51.12988094241722,15.789381089052078,39.466771872467206
Bajo,1,51.31480064315113,15.789367554430381,39.61615868052295
Bajo,1,51.500389136674876,15.78958394575768,39.393215446294896
Bajo,1,51.686648841788596,15.789614485232306,38.694198639506766
Bajo,1,51.87358218604039,15.789142201351885,37.931243144217795
Bajo,1,52.06119160575802,15.788062997741747,37.20209094106308
