setup,run,frequency_hz,normalized_transfer_db,snr_db
bass,1,39.00182590677006,15.997453918736978,37.32252249818922
bass,1,39.072290540879976,15.997830136567437,37.35148214485646
bass,1,39.142882483508004,15.998012191563141,37.393987543675756
bass,1,39.21360196466257,15.99799260882787,37.457678538793914
bass,1,39.284449214767655,15.997768658816673,37.528188231318865
bass,1,39.355424464663514,15.997342449398479,37.604363786960015
bass,1,39.4265279456075,15.996720792840167,37.70540386913894
bass,1,39.49775988927477,15.995914823122153,37.82654086691078
bass,1,39.56912052775902,15.994939380112621,37.954302446973216
bass,1,39.64061009357331,15.993812226614374,38.092404455610506
bass,1,39.712228819650754,15.992553142944612,38.252586839277775
bass,1,39.78397693934533,15.99118290114115,38.41233037425657
bass,1,39.855854686432586,15.989722221719983,38.55195622063986
bass,1,39.92786229511046,15.988190779924194,38.695614312222226
bass,1,40.0,15.986606331507007,38.86271268345094
bass,1,40.07226803614615,15.984983962332763,39.05032571137411
bass,1,40.14466663901851,15.98333558612687,39.247704269387725
bass,1,40.21719604451211,15.981669694060244,39.45290917076126
bass,1,40.28985648894816,15.979991371608113,39.646461030731416
bass,1,40.36264820907482,15.978302572564766,39.80830259471337
bass,1,40.43557144206802,15.976602656526328,39.95363559671917
bass,1,40.508626425532164,15.974889127249776,40.10886422079331
bass,1,40.58181339750094,15.97315850436767,40.262577835565395
bass,1,40.65513259643812,15.971407252491739,40.390864970217706
bass,1,40.72858426123827,15.969632708575467,40.506441977254575
bass,1,40.80216863122759,15.96783391918278,40.611683594244155
bass,1,40.875885946164665,15.966012292099007,40.69100524466635
bass,1,40.94973644624125,15.9641720323819,40.75179609134687
bass,1,41.02372037208306,15.962320334285279,40.7869510814318
bass,1,41.09783796475055,15.960467308313778,40.775972230450954
bass,1,41.17208946573968,15.958625644304165,40.707673664923746
bass,1,41.246475116982744,15.956810075751841,40.621364071380064
bass,1,41.32099516084914,15.955036708647254,40.53796312522653
bass,1,41.39564984014612,15.953322235171056,40.459701361429616
bass,1,41.470439398119645,15.951683126301457,40.40012276461718
bass,1,41.54536407845515,15.950134891153574,40.36391509036789
bass,1,41.620424125278326,15.948691415058345,39.8140360265741
bass,1,41.69561978315592,15.947364414559738,39.34804653683126
bass,1,41.77095129709655,15.946163046175355,38.98704649161006
bass,1,41.8464189125515,15.945093667974188,38.72616323849869
bass,1,41.92202287541548,15.944159712529029,38.537867190198625
bass,1,41.99776343202749,15.943361675188678,38.40523552050871
bass,1,42.07364082917158,15.942697210327525,38.33374482640433
bass,1,42.14965531407764,15.942161285249774,38.30416612703418
bass,1,42.22580713442228,15.941746383920481,38.30410234803811
bass,1,42.302096538329565,15.941442766585787,38.3274969862243
bass,1,42.3785237743718,15.941238774500679,38.34764770630892
bass,1,42.455089091570485,15.941121157996532,38.34404811469706
bass,1,42.53179273939693,15.941075442315901,38.3141386597242
bass,1,42.60863496777321,15.941086329709961,38.25466340599729
bass,1,42.685616027072946,15.941138105002867,38.143410827204676
bass,1,42.76273616812208,15.94121502143081,37.98849148568239
bass,1,42.83999564219974,15.94130166087668,37.81250093997692
bass,1,42.91739470103902,15.941383238405932,37.6298921541338
bass,1,42.994933596827856,15.941445795625796,37.445688115137884
bass,1,43.072612582209786,15.941476297102913,37.2734522781112
bass,1,43.150431910284794,15.941462625259915,37.11758044470143
bass,1,43.22839183461015,15.94139344731065,36.97273424450239
bass,1,43.30649260920125,15.941257995686485,36.8491222683104
bass,1,43.38473448853237,15.941045796829053,36.76020653150754
bass,1,43.463117727537586,15.940746353081213,36.72569316325779
bass,1,43.54164258161154,15.940348823537834,36.75509474562177
bass,1,43.62030930661031,15.939841773300815,36.83792304151287
bass,1,43.699118158852215,15.939212989789034,36.96077010954963
bass,1,43.77806939511869,15.938449395996864,37.12612713206944
bass,1,43.85716327265507,15.93753711812347,37.316080935328785
bass,1,43.93640004917147,15.936461675991891,37.506973636381474
bass,1,44.015779982843604,15.935208319718086,37.68219093678492
bass,1,44.095303332313634,15.933762526203848,37.828236957100636
bass,1,44.17497035669102,15.932110604560973,37.99237352624479
bass,1,44.25478131555333,15.93024042334548,38.20226084818427
bass,1,44.33473646894715,15.928142239603547,38.450568707239505
bass,1,44.41483607738885,15.925809571623507,38.775113279671714
bass,1,44.4950804018655,15.923240076899821,39.199596089691696
bass,1,44.575469703835694,15.920436410097846,39.6858590453932
bass,1,44.65600424523042,15.917406956555544,40.2303832842395
bass,1,44.736684288453844,15.91416640951829,40.84639982722817
bass,1,44.81751009638427,15.910736128365471,41.4669723671572
bass,1,44.89848193237492,15.907144180444979,41.80240189837028
bass,1,44.979600060254825,15.903425057313376,41.50795635076431
bass,1,45.06086474432968,15.899619031164416,41.2632125003434
bass,1,45.14227624938268,15.895771119618647,41.0951413539762
bass,1,45.22383484067543,15.891929719465846,41.01140407483883
bass,1,45.30554078394877,15.888144966465816,41.01317666564019
bass,1,45.38739434542365,15.884466862013136,41.077568201571154
bass,1,45.46939579180203,15.88094333322109,41.127291259135845
bass,1,45.55154539026766,15.877618337596907,40.707152506665
bass,1,45.633843408487095,15.874530099252569,40.279696613031945
bass,1,45.7162901146104,15.871709659845074,39.91806817635545
bass,1,45.79888577727217,15.86917981032933,39.599316554707485
bass,1,45.88163066559231,15.866954452889347,39.35266325174401
bass,1,45.964525049176935,15.865038482582655,39.16839816152451
bass,1,46.047569198119305,15.863428136837845,39.03726300908258
bass,1,46.13076338300061,15.86211175369735,38.965815002987426
bass,1,46.214107874890914,15.861070900249638,38.93435195637194
bass,1,46.29760294535004,15.860281732279491,38.938777724638406
bass,1,46.381248866428415,15.859716436428515,38.97822937608232
bass,1,46.465045910667975,15.859344681304142,39.06507448542926
bass,1,46.5489943511031,15.859134927620131,39.22407883308281
bass,1,46.63309446126142,15.859055515502789,39.44255268511484
bass,1,46.71734651516474,15.85907550889578,39.68521795675757
bass,1,46.80175078733001,15.859165223887057,39.93676260891818
bass,1,46.88630755277006,15.859296485226963,40.187624967306235
bass,1,46.971017086994635,15.859442670264944,40.426255998953195
bass,1,47.05587966601125,15.859578566881607,40.659126277381176
bass,1,47.140895566326066,15.859680179831681,40.84887439737318
bass,1,47.22606506494479,15.859724559861647,41.00989045450569
bass,1,47.311388439373644,15.859689709049547,41.16672152454602
bass,1,47.39686596762017,15.859554680919304,41.297774249372885
