frequency_hz,pair_first_db,pair_mad_db,n_pairs,attack_db,sustain_db,attack_sustain_disagreement_db
1107.9965202176743,4.17363033632876,9.771385478982843,14,2.0125761921915064,4.455912925675175,2.443336733483669
1117.5416865555403,4.332087538355705,9.918750689431736,14,2.013227677679706,4.455891036837776,2.44266335915807
1127.1690825744138,4.4840235315653265,10.144061575920492,14,2.01388213501559,4.495005249839572,2.481123114823982
1136.8794166663981,4.494165362942254,10.159148480809097,14,2.0145396029386906,4.500359298042979,2.4858196951042886
1146.6734033262524,4.970627708788018,10.865602223198088,14,2.0152001201235903,4.972322619777248,2.957122499653658
1156.5517632039557,4.9710358052286,10.866257978183654,14,2.0158637251839613,5.185134841416425,3.169271116232464
1166.5152231577492,5.168943219586014,11.159726264693292,14,2.0165304566765143,5.245005689168053,3.228475232491539
1176.5645163076103,5.243066858703559,11.269672768828707,14,2.017200353104977,5.332669399952788,3.315469046847811
1186.7003820891905,5.425331044435021,11.352394851465846,14,2.0178734529240545,5.371456237004631,3.3535827840805768
1196.9235663082382,5.452853245291095,11.158241646698063,14,2.018549794543268,5.392179419849999,3.3736296253067306
1207.2348211954627,5.538426575005245,10.833711500727548,14,2.0192294163308744,5.4074217670937745,3.3881923507629
1217.6349054618897,5.646089427942513,10.425906229381127,14,2.0199123566176933,5.46248045015254,3.442568093534847
1228.1245843546906,5.67426524310337,10.292370296131297,14,2.0205986537009513,5.552438229383929,3.531839575682978
1238.7046297134823,5.694277039674416,10.02522311360924,14,2.0212883458480446,5.65702935690802,3.6357410110599755
1249.3758200271252,5.7767200659676785,10.068574982674892,14,2.377311671858611,5.732663977608673,3.3553523057500616
1260.1389404910074,5.86692953101887,10.202888166947877,14,2.716128026157623,5.804271604069773,3.0881435779121498
1270.994783064813,5.9401796427794284,10.312065274340824,14,2.9122544361340554,5.900293261709688,2.9880388255756327
1281.9441465307984,6.00176019307535,10.403949048466771,14,2.9584325671431477,5.957950292925129,2.999517725781981
1292.9878365525726,6.080915828841439,10.521897702245042,14,2.9843528130509758,6.052410014715845,3.068057201664869
1304.1266657343697,6.122800521873394,10.144521862505874,14,2.9872179283484632,6.0986427570109445,3.1114248286624813
1315.361453680845,6.164382959684457,9.970778216231443,14,2.9897313584017864,6.373092650321565,3.383361291919779
1326.6930270573866,6.215868088860235,9.851923735731818,14,2.992014403955939,6.487967986402399,3.49595358244646
1338.1222196509339,6.430002620718936,9.794232503781231,14,2.994170303555009,6.64952853194351,3.6553582283885007
1349.6498724313326,6.470659236253535,9.774040400957725,14,2.997816895287201,6.802201272400616,3.804384377113415
1361.276833613218,6.483364872832359,9.758178939033183,14,2.999333879589132,7.042648751071447,4.043314871482314
1373.003958718419,6.525058583606242,9.753063501443245,14,3.000932529697489,7.127897722479329,4.12696519278184
1384.8321106389124,6.744338508394813,9.825004140053489,14,3.0071798421524587,7.19260160884567,4.185421766693211
1396.762159700319,6.815019247232809,9.930427022974289,14,3.013189944657679,7.339664418960021,4.326474474302342
1408.7949837259355,6.976289335801001,10.170166822887403,14,3.0177909074729428,7.704369114792364,4.686578207319421
1420.9314681013288,7.181197667160756,10.47451903920187,14,3.0213428025936917,7.956087563641843,4.934744761048151
1433.172505839488,7.563053350365912,11.04121563154606,14,3.0240974695935727,8.09918781498247,5.075090345388897
1445.5189976465244,7.6546191860368795,11.1775384533359,14,3.0269434837599754,8.287219427920519,5.260275944160544
1457.9718519879507,7.744645687476389,11.311589130484071,14,3.031331567834033,8.455272512022885,5.423940944188852
1470.5319851555312,7.931195957190679,11.588756134980205,14,3.035943159663345,8.673114106721611,5.637170947058266
1483.200321334694,8.178593156445496,11.956145103268955,14,3.0405886559293926,8.690894609524559,5.650305953595167
1495.977792672538,8.178602805184262,11.956767714123183,14,3.044902972083448,8.718300720811758,5.67339774872831
1508.865339346428,8.178613890862614,12.834026721920198,14,3.084536306370557,9.073953769822129,5.989417463451572
1521.8639096331553,8.178627389581088,13.491683479542692,14,3.4902339898499735,9.332064571807496,5.841830581957523
1534.974459978734,8.178644577062357,13.704370527782949,14,3.7243667352864556,9.540135748355095,5.815769013068639
1548.197955068768,8.178667174912384,13.704598292834437,14,4.267085480652154,9.620300208732063,5.353214728079909
1561.5353678994222,8.178697543635511,13.704837613946676,14,4.448342556613164,9.666793020907695,5.2184504642945315
1574.9876798490382,8.178738944705747,13.70509333214266,14,4.4549174943361916,10.01069987421771,5.555782379881519
1588.5558807503326,8.180888933623354,13.708475288745214,14,4.462433749426603,10.082564874924456,5.620131125497853
1602.240968963222,8.181112587876143,13.70900131315271,14,4.4700710221932045,10.433834906545572,5.9637638843523675
1616.0439514483016,8.278097543620877,13.856709355033363,14,4.6722596275542125,10.491765978158401,5.819506350604189
1629.9658438409292,8.294268496995088,13.911989014975845,14,4.672691531081476,10.541280102715621,5.868588571634145
1644.0076705259455,8.294749765405719,13.914868886352851,14,4.673125434754814,10.64844475178665,5.975319317031836
1658.1704647130725,8.29497284745512,13.917401152666878,14,4.673561356828061,10.744632397236579,6.071071040408518
1672.4552685129177,8.294960092588996,13.919619439388086,14,4.673999315508095,10.876876143865662,6.202876828357566
1686.8631330136618,8.29472775565981,13.921548342488578,14,4.674439328956511,11.079325119209663,6.404885790253152
1701.3951183584027,8.294288116359658,13.923206570792884,14,4.674881415291244,11.098538056339944,6.4236566410487
1716.0522938231518,8.182536657129553,13.759871076026425,14,4.615975074313948,11.197016239601684,6.581041165287736
1730.8357378955182,8.18414022360928,13.764633439579583,14,4.461172347884198,11.235272195218268,6.77409984733407
1745.7465383540682,8.186822146499857,13.771032794263254,14,4.455735158414817,11.260577992826509,6.804842834411692
1760.7857923483566,8.19056473800751,13.779043445619859,14,4.452865636461205,11.27298323977873,6.8201176033175255
1775.954606479659,8.195784466446685,13.78928338587395,14,4.3594900358447815,11.272962141581393,6.913472105736612
1791.2540968824044,8.203061349735497,13.802613092813903,14,4.271215510154261,11.269236582782504,6.9980210726282435
1806.685389306288,8.213203237713369,13.820230834842405,14,4.1520433828945125,11.219580028210771,7.067536645316259
1822.2496191991115,8.228473488857267,13.845492824563285,14,3.9850484683427467,11.319174119287155,7.334125650944408
1837.9479317903363,8.251853314032747,13.882819569715302,14,3.8487231534957114,11.110838897831984,7.262115744336272
1853.7814821753382,8.284482561017102,13.933901580395819,14,3.4104346631281333,11.425755141227198,8.015320478099063
1869.7514354004065,8.298634916653226,13.95763240386473,14,3.1104051262882733,11.721023345292146,8.610618219003872
1885.8589665484756,8.309863095301823,13.977071081035604,14,3.0979528404043455,12.147041125409682,9.049088285005336
1902.1052608255754,8.487473056761399,14.243231222056766,14,3.093404751503936,12.46503288943553,9.371628137931594
1918.491513648047,8.710751868432501,14.577144434850055,14,2.904666794867752,12.773421192035004,9.868754397167251
1935.0189307305077,8.91395344185749,14.881336178200083,14,2.9043820890378087,13.325721411337181,10.421339322299373
1951.688728174557,9.042381968625644,15.07471506392348,14,2.897913925585524,13.405984012501065,10.508070086915541
1968.5021325582636,9.586841014202104,15.278578760917306,14,2.7020942698823385,13.535381686474935,10.833287416592597
1985.4603810264255,9.835377065269274,15.275963077200922,14,2.6934215286933676,13.892292973377685,11.198871444684318
2002.5647213815869,10.233110144694372,15.266237116370515,14,2.694547360793263,14.484758203018373,11.790210842225111
2019.8164121758589,10.457569725644689,15.498747194199458,14,2.6985035065688256,14.842483373325416,12.143979866756592
