pair,event,event_confidence_v18,class_weight,note_weight,lag_weight
Am7,34,0.6864055543465327,1.0,0.6666666666666667,0.46875499440626567
Am7,35,0.6803760908243257,1.0,0.6666666666666667,0.4453012625859014
Am7,36,0.6424134364022771,1.0,0.6666666666666667,0.4585264503755784
Am7,37,0.6933067456312175,1.0,0.6666666666666667,0.7167971871503909
Am7,38,0.6106953504396224,0.7,0.6666666666666667,0.7246284161738872
Am7,39,0.6397059107677089,0.7,0.6666666666666667,0.7142400511427196
Am7,40,0.6699800510122607,0.7,0.6666666666666667,0.7219114591657334
Am7,41,0.6435355275864019,0.7,0.6666666666666667,0.7359757072079277
Am7,42,0.7008918184059953,0.7,0.6666666666666667,0.9904107399712317
Am7,43,0.6671465755756265,0.7,0.6666666666666667,0.9955250119865746
B_12,0,0.6357874267663557,1.0,0.719042651849221,0.4
B_12,1,0.6640573676257212,1.0,0.7985849830302942,0.4
B_12,2,0.6801932212650913,1.0,0.7692221654918333,0.4
B_12,3,0.7194852724819304,1.0,0.8387551565740772,0.4
B_12,4,0.7033157016138837,1.0,0.8207208020122383,0.4
B_12,5,0.7225134324861954,1.0,0.8253720091246587,0.4
B_12,6,0.6741504447344041,1.0,0.7886257500005902,0.4602272727272718
B_12,7,0.7672273553658747,1.0,0.8097696176215435,0.75
B_12,8,0.7089575801872783,1.0,0.7793439132475705,0.7428977272727275
B_12,9,0.728063515123364,1.0,0.785454455031958,0.7230113636363634
B_12,10,0.7660673737101621,1.0,0.8133399622491524,0.9644886363636345
B_12,11,0.797645791785459,1.0,0.8293105138287905,0.9559659090909077
B_12,12,0.7661397829364317,1.0,0.8272041458848758,0.9474431818181802
B_12,13,0.789627918624634,1.0,0.8322163727861038,0.9559659090909077
B_12,14,0.7826919869462816,1.0,0.8301359585615531,0.9616477272727255
B_12,15,0.7922475694318094,1.0,0.8538067235617947,0.9886363636363622
B_12,16,0.7964797744346646,1.0,0.8259559727523907,1.0
B_12,17,0.7958974913724504,1.0,0.8310470270336866,0.9843749999999981
B_12,18,0.8089646673479876,1.0,0.8322461769575336,0.9829545454545434
B_12,19,0.7989486914530091,1.0,0.8156426411400433,0.9673295454545443
B_12,20,0.7707823369268818,1.0,0.8342886784620217,0.950284090909089
B_12,21,0.7920371649832457,1.0,0.7897214408809605,0.9801136363636346
B_12,22,0.7527781685505769,1.0,0.7703322089660625,0.9715909090909078
B_12,23,0.7749615403114253,1.0,0.7847445883357713,0.9857954545454533
B_12,24,0.7193530939228241,1.0,0.7503176997114438,0.9630681818181802
B_12,25,0.7133860094966937,1.0,0.7586137035291007,0.6661931818181787
B_12,27,0.7835503351475582,1.0,0.8162686838758356,0.9559659090909086
B_12,28,0.7928679303483929,1.0,0.8146446369011322,0.950284090909089
B_12,29,0.7609249512337967,1.0,0.7885904318725113,0.9616477272727264
B_12,30,0.7777822792122702,1.0,0.8282958655759707,0.9772727272727247
B_12,31,0.6351465050354833,1.0,0.8187106945361349,0.9517045454545424
B_12,32,0.7780699632219846,1.0,0.8181637975928271,0.9474431818181802
B_12,33,0.7720947397378518,1.0,0.76760476263104,0.9701704545454531
B_12,35,0.7756565221567546,1.0,0.8308551221399437,0.7471590909090902
B_12,37,0.5626384583419174,1.0,0.814334708827129,0.4517045454545462
B_12,38,0.6884475207892883,1.0,0.8124852341171684,0.4446022727272726
B_12,39,0.7818639539132836,1.0,0.8369285176470664,0.7329545454545452
B_12,41,0.753845559313137,1.0,0.8641359637300622,0.42329545454545314
B_12,42,0.6886942916584528,1.0,0.8268622204243642,0.4616477272727263
B_12,43,0.761185005390997,1.0,0.8561193962529076,0.45596590909090884
B_12,45,0.7029477906465376,0.7,0.8403090014949965,0.4
B_12,47,0.674124098853049,0.7,0.8672071302947897,0.4
B_12,48,0.6710616234523283,0.7,0.850886790172267,0.4
B_12,49,0.6686614033479752,0.7,0.8456976577044282,0.4
