frequency_hz,eq_copy_db,eq_before_air_taper_db,source_variant,air_policy,smoothing,pipeline_version
5605.947719837905,4.116921570738837,4.116921570738837,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5615.412236332861,4.116887825823971,4.116887825823971,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5624.892731762505,4.116854080909106,4.116854080909106,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5634.389233104058,4.116820335994241,4.116820335994241,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5643.901767380287,4.116786591079376,4.116786591079376,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5653.430361659583,4.11675284616451,4.11675284616451,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5662.9750430560325,4.116718650885177,4.116718650885177,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5672.535838729502,4.116684429502167,4.116684429502167,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5682.112775885711,4.116650208119158,4.116650208119158,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5691.705881776309,4.116615986736149,4.116615986736149,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5701.315183698957,4.116581765353139,4.116581765353139,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5710.940708997402,4.116547130211272,4.116547130211272,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5720.582485061554,4.116512427786568,4.116512427786568,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5730.240539327564,4.116477725361865,4.116477725361865,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5739.914899277909,4.116443022937162,4.116443022937162,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5749.6055924414595,4.116408320512458,4.116408320512458,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5759.312646393564,4.116373241681937,4.116373241681937,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5769.036088756129,4.116338053602205,4.116338053602205,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5778.775947197692,4.116302865522474,4.116302865522474,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5788.532249433504,4.116267677442743,4.116267677442743,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
