pair,event,ioi_cafe_s,ioi_azul_s,nominal_period_s,silence_cafe_s,overlap_cafe_s,classification
A_open,5,0.6008163265306123,0.6153287981859421,0.6,0.07281632653061232,0.0,clean
A_open,6,0.5921088435374156,0.6066213151927435,0.6,0.06410884353741553,0.0,clean
A_open,7,0.5950113378684803,0.5775963718820858,0.6,0.06701133786848024,0.0,clean
A_open,8,0.6298412698412701,0.5921088435374156,0.6,0.10184126984127007,0.0,clean
A_open,9,0.58920634920635,0.6066213151927435,0.6,0.06120634920634993,0.0,clean
A_open,10,0.6095238095238091,0.6008163265306123,0.6,0.08152380952380911,0.0,clean
A_open,11,0.6182312925170059,0.583401360544217,0.6,0.0902312925170059,0.0,clean
A_open,12,0.5834013605442188,0.6240362811791389,0.6,0.055401360544218736,0.0,clean
A_open,13,0.6124263038548747,0.6037188208616779,0.6,0.0844263038548747,0.0,clean
A_open,14,0.583401360544217,0.5979138321995467,0.6,0.05540136054421696,0.0,clean
A_open,15,0.6124263038548765,0.5979138321995467,0.6,0.08442630385487648,0.0,clean
A_open,16,0.6211337868480733,0.5892063492063482,0.6,0.09313378684807327,0.0,clean
A_open,17,0.5804988662131514,0.568888888888889,0.6,0.05249886621315136,0.0,clean
A_open,18,0.5834013605442188,0.6182312925170059,0.6,0.055401360544218736,0.0,clean
A_open,19,0.6153287981859421,0.6124263038548783,0.6,0.08732879818594208,0.0,clean
A_open,20,0.5688888888888854,0.597913832199545,0.6,0.04088888888888542,0.0,clean
A_open,21,0.6182312925170095,0.6414512471655343,0.6,0.09023129251700945,0.0,clean
A_open,22,0.6240362811791371,0.5804988662131514,0.6,0.0960362811791371,0.0,clean
A_open,23,0.5921088435374138,0.597913832199545,0.6,0.06410884353741375,0.0,clean
A_open,24,0.6008163265306123,0.5717913832199564,0.6,0.07281632653061232,0.0,clean
A_open,25,0.5950113378684811,0.6066213151927435,0.6,0.06701133786848112,0.0,clean
A_open,26,0.5456689342403642,0.6153287981859386,0.6,0.017668934240364198,0.0,clean
A_open,27,0.6559637188208605,0.5979138321995485,0.6,0.12796371882086044,0.0,clean
A_open,28,0.5921088435374173,0.6037188208616762,0.6,0.0641088435374173,0.0,clean
A_open,29,0.5921088435374138,0.5921088435374173,0.6,0.06410884353741375,0.0,clean
A_open,30,0.6240362811791407,0.58920634920635,0.6,0.09603628117914065,0.0,clean
A_open,31,0.5892063492063464,0.5892063492063464,0.6,0.06120634920634638,0.0,clean
A_open,32,0.6124263038548747,0.6095238095238109,0.6,0.0844263038548747,0.0,clean
A_open,33,0.58920634920635,0.6008163265306123,0.6,0.06120634920634993,0.0,clean
A_open,34,0.6124263038548747,0.597913832199545,0.6,0.0844263038548747,0.0,clean
A_open,35,0.5863038548752861,0.5921088435374138,0.6,0.05830385487528611,0.0,clean
A_open,36,0.6182312925170059,0.6095238095238109,0.6,0.0902312925170059,0.0,clean
A_open,37,0.597913832199545,0.6269387755102045,0.6,0.06991383219954495,0.0,clean
A_open,38,0.6008163265306123,0.5572789115646266,0.6,0.07281632653061232,0.0,clean
A_open,39,0.5804988662131514,0.597913832199545,0.6,0.05249886621315136,0.0,clean
A_open,40,0.6095238095238109,0.6066213151927435,0.6,0.08152380952381089,0.0,clean
A_open,41,0.6008163265306123,0.6124263038548747,0.6,0.07281632653061232,0.0,clean
A_open,42,0.5863038548752826,0.5863038548752826,0.6,0.05830385487528256,0.0,clean
A_open,43,0.6414512471655343,0.6240362811791371,0.6,0.11345124716553423,0.0,clean
A_open,44,0.6240362811791371,0.5921088435374173,0.6,0.0960362811791371,0.0,clean
A_open,45,0.6008163265306123,0.5921088435374102,0.6,0.07281632653061232,0.0,clean
A_open,46,0.5543764172335628,0.5863038548752897,0.6,0.026376417233562766,0.0,clean
A_open,47,0.6008163265306123,0.5892063492063428,0.6,0.07281632653061232,0.0,clean
A_open,48,0.5921088435374173,0.5921088435374173,0.6,0.0641088435374173,0.0,clean
A_open,49,0.6298412698412719,0.6008163265306123,0.6,0.10184126984127184,0.0,clean
A_open,50,0.5659863945578181,0.6327437641723392,0.6,0.03798639455781805,0.0,clean
A_open,51,0.6443537414966016,0.597913832199545,0.6,0.1163537414966016,0.0,clean
A_open,52,0.5834013605442152,0.6153287981859421,0.6,0.055401360544215184,0.0,clean
A_open,53,0.5804988662131549,0.5746938775510202,0.6,0.052498866213154916,0.0,clean
A_open,54,0.6008163265306123,0.58920634920635,0.6,0.07281632653061232,0.0,clean
A_open,55,0.5775963718820876,0.6182312925170024,0.6,0.04959637188208754,0.0,clean
A_open,56,0.5863038548752826,0.5863038548752826,0.6,0.05830385487528256,0.0,clean
A_open,57,0.58920634920635,0.6385487528344669,0.6,0.06120634920634993,0.0,clean
A_open,58,0.5892063492063428,0.5804988662131549,0.6,0.061206349206342825,0.0,clean
A_open,59,0.6153287981859421,0.6008163265306123,0.6,0.08732879818594208,0.0,clean
A_open,60,0.6153287981859421,0.6124263038548747,0.6,0.08732879818594208,0.0,clean
A_open,61,0.5746938775510202,0.5834013605442152,0.6,0.04669387755102017,0.0,clean
A_open,62,0.6008163265306123,0.6066213151927471,0.6,0.07281632653061232,0.0,clean
A_open,63,0.6008163265306123,0.5717913832199528,0.6,0.07281632653061232,0.0,clean
A_open,64,0.6240362811791371,0.6182312925170095,0.6,0.0960362811791371,0.0,clean
