model,pair,mae,rmse,p75,p90,p95,improved
V9,B_open,5.493502143318569,6.845588940892955,7.906858225975284,11.478924935690335,13.822512986007451,
V9,C_12,5.196948184401619,6.438345337320177,7.5659401158006,10.79736341163521,12.651949375053315,
V9,C_24,2.1191718086262292,2.550639015067191,2.830606188806356,3.675588731129264,4.511079669382384,
V9,C_chromatic,3.999534670150859,5.311528069503996,5.61246123615687,8.209399458509017,10.891986885888743,
V9,C_open,7.147552135274647,7.601786442764407,8.972206327597661,10.062222511765068,10.674020169804988,
V9,D_12,2.0836636530185064,3.07650079100603,2.7276242992619233,3.7877989857417793,5.4438486909723185,
V9,D_open,3.9573257471714305,4.786163622146527,5.527344598729226,7.775191105671695,9.042788755295382,
V9,E_12,2.1001234021310036,2.773902866602834,3.179753019695596,4.463020335677591,4.695090748540205,
V9,E_open,4.703272355386365,5.896392271347734,6.727248929932247,10.049218577119813,11.645493276755786,
V9,G_12,5.304493210767518,6.204472028407039,7.857116055657222,8.957231478658104,9.864566657444362,
V9,G_open,7.06997756684022,7.915683609041898,9.738431863238029,11.493745878915176,12.807878645466863,
V10_1,A_12,1.793884059296788,2.412561816746775,2.06639885234629,3.1958330685718557,4.279163309840994,
V10_1,A_open,4.293457621617208,5.47698280490739,5.651527378760886,8.842672696718525,11.62378232646399,
V10_1,B_12,2.4861312783047067,3.3425055587721944,3.076594830393453,5.115654315828789,5.6778265207894885,
V10_1,B_open,5.475096852204448,6.841893033258146,7.934844364626196,11.418820084229221,13.771052108476177,
V10_1,C_12,5.112717870404839,6.367939797578283,7.661055273705276,10.719097434245867,12.436544278071818,
V10_1,C_24,2.1479137210445844,2.5554458900600383,2.8888238980251604,3.707155939626152,4.560282445372349,
V10_1,C_chromatic,4.016173027324355,5.3471067373032755,5.7143459196559485,8.274371541052615,10.738913271839554,
V10_1,C_open,6.506973679878077,6.968069111306841,8.283993082661889,9.391087390167288,9.977022374530538,
V10_1,D_12,2.092644268701814,2.975974603470054,2.382653298037628,3.9353409487013895,4.7619439165415445,
V10_1,D_open,4.003607157263552,4.849043740451544,5.691183507378732,7.607681040713139,8.976884907580079,
V10_1,E_12,2.0504831368555387,2.700775499764763,2.9630200870114174,4.416515032795163,4.8085539686314345,
V10_1,E_open,4.550522428665304,5.733345806614305,6.559424262472766,9.672803510203618,11.461726951385026,
V10_1,G_12,4.838588231267221,5.686036996710457,7.162659906285765,8.29145800489455,9.170358464523183,
V10_1,G_open,6.4019981013300855,7.2992581803650705,9.042452266734747,10.794911795223761,12.108858582800284,
